,CPI,trade_balance_perc_of_gdp,life_expectancy,inflation_annual_perc,gini_index,democracy_index,childmor_0_5_per_1000,cellphone_per_100,avrg_daily_income,gender_inequality_ind,press_freedom_index,political_stability,ethnic_div_index,linguistic_div_index,religious_div_index,rural_population_ratio,unemployment_perc_tot_labor,pop_percent_with_sanitation,undernourishment_prevalence_perc,population,fertility_rate
3295,35.0,1.75,80.0,2.28,42.4,66.0,14.3,131.0,13.6,0.403,69.73,-0.276951968669891,0.6566,0.3358,0.1988,22.093,3.49,77.18766,7.6,32203946.0,2.34
3296,36.0,-11.7,71.6,3.74,42.3,67.1,28.4,124.0,8.16,0.422,57.47,-1.09619224071503,0.2385,0.836,0.3056,53.093,2.34,79.43867,6.2,108568832.0,2.86
3297,60.0,2.05,78.0,1.23,30.2,66.7,4.45,125.0,26.1,0.121,73.41,0.480340898036957,0.1183,0.0468,0.1712,39.942,3.85,99.99796,2.5,38521464.0,1.29
3298,64.0,0.463,81.7,1.81,33.5,78.4,3.75,115.0,33.0,0.074,85.83,1.11509525775909,0.0468,0.0198,0.1438,34.789,6.99,99.607315,2.5,10289833.0,1.24
3299,28.0,2.05,77.6,31.5,42.0,24.5,14.4,104.0,16.0,0.452,39.29,-1.34214425086975,0.6684,0.7462,0.1152,25.102,12.19,89.86408,5.2,85617560.0,1.61
3300,47.0,-3.39,75.5,6.21,35.8,63.8,7.28,115.0,17.1,0.282,76.35,0.0362158752977848,0.3069,0.1723,0.2373,46.002,4.19,85.436424,2.5,19606778.0,1.54
3301,28.0,10.0,73.0,10.0,37.5,29.4,7.18,157.0,27.5,0.21,50.04,-0.538375675678253,0.2452,0.2485,0.4398,25.567,4.85,88.86099,2.5,145652288.0,1.76
3302,56.0,-13.6,68.3,-0.639,43.7,33.5,35.3,77.4,3.32,0.389,47.1,0.101642534136772,0.3238,0.0,0.5066,82.789,12.1,67.723366,34.7,12531810.0,3.74
3306,28.0,-26.7,76.2,5.52,31.8,46.3,7.44,74.3,28.8,0.434,68.85,-1.62153577804565,0.1314,0.1312,0.7886,11.407,10.728,97.87058,7.1,5950842.0,1.71
3307,45.0,-15.9,68.0,-0.84,40.4,61.5,43.6,106.0,5.98,0.532,74.39,-0.107445858418941,0.6939,0.7081,0.1497,52.808,3.57,54.9045,7.8,15574910.0,4.62
3310,30.0,-21.8,61.2,14.0,35.7,46.6,105.0,80.8,3.89,0.638,70.02,-0.088885597884655,0.8191,0.7634,0.5395,57.945,3.19,15.860481,27.7,7861287.0,4.26
3313,60.0,8.44,81.4,2.11,24.6,75.0,2.14,117.0,42.5,0.074,78.31,0.894077658653259,0.2216,0.2201,0.2868,45.459,5.11,98.08099,2.5,2105931.0,1.65
3316,43.0,0.498,64.4,3.75,63.3,72.4,33.8,161.0,11.9,0.405,79.61,-0.237621992826462,0.7517,0.8652,0.8603,33.645,24.22,76.68319,5.7,57339632.0,2.4
3318,58.0,2.72,83.1,1.25,34.7,80.8,3.03,116.0,44.9,0.062,79.49,0.275779157876968,0.4165,0.4132,0.4514,19.679,15.25,99.903946,2.5,46792044.0,1.39
3319,38.0,-6.92,77.2,4.3,39.4,61.9,7.44,140.0,9.19,0.378,58.63,-0.139389723539352,0.415,0.4645,0.4853,81.524,4.32,93.65563,4.1,21580712.0,2.02
3320,16.0,-6.57,70.1,56.0,34.2,21.5,60.5,71.7,4.16,0.557,28.87,-1.82177793979645,0.7147,0.719,0.4307,65.358,17.572,36.672695,11.8,41999064.0,4.41
3322,85.0,2.23,82.7,2.4,30.0,93.9,2.71,124.0,56.6,0.031,91.69,0.921225249767303,0.06,0.1968,0.2342,12.569,6.36,99.28848,2.5,10162300.0,1.91
3323,85.0,10.5,83.9,0.764,33.1,90.3,4.12,127.0,77.1,0.032,88.73,1.31924939155579,0.5314,0.5441,0.6083,26.203,4.71,99.89987,2.5,8514431.0,1.55
3324,18.0,15.8,73.3,18.2,29.5,40.6,26.7,90.0,12.2,0.569,43.44,-2.52095818519592,0.3689,0.3694,0.4844,29.527,14.065,98.484474,18.1,40590700.0,4.25
3327,36.0,-3.16,66.7,3.05,40.5,54.1,53.0,74.9,3.29,0.562,69.35,-0.580516219139099,0.7353,0.8983,0.6334,66.224,2.203,30.108774,23.3,58090444.0,4.89
3328,36.0,8.83,78.3,1.43,36.4,46.3,9.1,176.0,16.0,0.405,55.69,-0.799434542655945,0.6338,0.6344,0.0994,50.051,0.77,98.12522,7.8,71127808.0,1.45
3330,30.0,-8.67,64.5,-0.00104,43.0,31.0,69.8,76.4,4.55,0.586,69.77,-0.886004209518433,0.7099,0.898,0.6596,58.298,3.723,17.873167,20.7,8046680.0,4.32
3333,41.0,-0.249,78.1,16.5,41.9,43.7,10.6,96.8,22.5,0.286,46.5,-1.31516599655151,0.32,0.2216,0.0049,24.857,10.89,98.14568,2.5,82809304.0,2.02
3334,20.0,8.9,70.6,1.21,44.7,17.2,45.8,96.3,12.2,0.183,15.8,-0.0129793277010322,0.3918,0.3984,0.2327,48.407,4.196,98.59668,3.5,6065072.0,2.79
3336,32.0,-8.73,73.9,15.4,26.1,56.9,8.73,128.0,13.6,0.249,68.84,-1.87208938598633,0.4737,0.4741,0.6157,30.648,8.8,97.74059,2.5,44446952.0,1.56
3338,80.0,-1.53,81.0,1.74,36.0,85.3,4.26,119.0,54.4,0.112,76.75,0.07756457477808,0.1211,0.0532,0.6944,16.602,4.0,99.10918,2.5,66432996.0,1.87
3339,71.0,-2.89,79.0,2.4,41.4,79.6,6.53,105.0,80.6,0.192,76.27,0.386042565107346,0.4901,0.5647,0.8241,17.744,3.9,99.712776,2.5,332140032.0,1.9
3340,70.0,5.08,77.5,7.3,39.7,83.8,7.58,130.0,29.3,0.258,84.44,1.02394342422485,0.2504,0.0817,0.3548,4.666,8.34,97.480354,2.5,3427044.0,1.97
3341,23.0,-17.5,68.1,26.9,35.0,20.1,21.4,71.6,3.27,0.274,39.16,-0.304469525814056,0.4125,0.412,0.2133,49.522,5.856,100.0,2.5,32449578.0,2.23
3344,33.0,4.18,74.3,3.63,35.7,30.8,20.7,148.0,13.5,0.304,24.95,0.0327426008880138,0.2383,0.2377,0.508,64.081,1.16,86.02535,6.8,94914328.0,1.95
3349,35.0,-13.7,78.5,1.26,33.2,58.9,8.68,91.5,13.7,0.156,70.16,0.110049679875374,0.2204,0.0399,0.4719,38.771,11.47,99.18307,4.3,2873883.0,1.7
3350,71.0,25.9,73.9,-3.19,26.0,27.6,7.37,213.0,79.0,0.056,56.37,0.667445123195648,0.6252,0.4874,0.331,13.211,2.33,99.1477,6.0,9211660.0,1.7
3351,26.0,23.8,65.1,19.2,51.3,37.2,74.5,45.8,5.26,0.537,65.04,-0.370094686746597,0.7867,0.787,0.6276,33.823,9.481,51.393623,17.9,32353592.0,5.48
3353,42.0,-13.4,75.7,1.07,29.9,55.4,12.1,128.0,7.91,0.239,71.02,-0.420044243335724,0.1272,0.1291,0.4576,36.781,12.2,93.8524,3.1,2820604.0,1.59
3354,77.0,2.48,82.9,3.4,34.4,90.9,3.59,110.0,65.0,0.08,83.45,0.917313098907471,0.0929,0.3349,0.8211,13.876,5.16,99.99115,2.5,25357168.0,1.82
3355,77.0,3.63,82.2,1.55,30.9,82.9,3.37,121.0,66.2,0.054,84.67,0.892080426216125,0.1068,0.1522,0.4146,41.485,4.49,99.97271,2.5,8879939.0,1.53
3356,30.0,12.3,71.0,-0.241,27.0,27.5,20.7,105.0,19.2,0.314,40.87,-0.693412125110626,0.2047,0.2054,0.4899,43.969,4.85,96.12903,2.5,10232761.0,2.02
3358,60.0,2.25,83.0,1.84,38.5,78.6,3.58,136.0,41.9,0.098,69.2,-0.815560400485992,0.3436,0.5525,0.3469,7.499,3.8,99.9536,2.5,8607922.0,2.89
3359,26.0,-5.39,74.5,3.66,32.4,58.8,28.9,100.0,4.7,0.531,49.26,-0.928613364696503,0.0454,0.0925,0.209,62.595,4.382,52.698704,11.0,165516224.0,2.02
3361,45.0,-0.661,74.0,8.58,25.3,24.8,3.35,120.0,19.1,0.103,48.34,0.344906747341156,0.3222,0.4666,0.6116,20.956,4.16,97.885025,2.5,9673971.0,1.72
3362,75.0,0.628,81.4,1.75,27.2,76.4,3.51,100.0,59.0,0.048,87.93,0.45831623673439,0.5554,0.5409,0.2127,1.959,5.36,99.48615,2.5,11510569.0,1.8
3363,41.0,-4.42,64.5,-0.398,48.1,50.9,90.9,84.2,4.84,0.61,68.26,-0.42025950551033,0.7872,0.7905,0.5544,52.139,1.466,16.515265,7.7,12290443.0,4.77
3365,31.0,-6.46,72.0,-0.693,41.6,48.4,26.1,99.2,19.6,0.421,64.62,-0.728338599205017,0.7396,0.224,0.2085,30.227,3.68,63.898308,11.9,11777318.0,2.77
